"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"8548","OmenInstallMonitor",,"01-06-2026 10:48:51","4.58","33.02","4752.79","33.02","4.27","True"
"10588","igfxEMN","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_5d2e576bb8443cb9\igfxEMN.exe","01-06-2026 10:48:57","4.52","4.61","2101395.76","4.61","5.17","True"
"1724","WUDFHost",,,"4.48","15.43","2101395.25","15.43",,"True"
"19904","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","01-06-2026 11:02:02","4.42","55.46","2101900.38","55.46","21.66","True"
"26556","NgcIso",,,"4.41","1.29","4146.11","1.29",,"True"
"3476","dasHost",,,"4.32","1.86","2101325.43","1.86",,"True"
"3672","svchost",,,"4.32","4.13","2101355.47","4.13",,"True"
"2324","svchost",,,"4.2","2.82","2101341.73","2.82",,"True"
"6440","svchost",,,"3.98","2.56","2101345.91","2.56",,"True"
"8708","rundll32","C:\WINDOWS\System32\rundll32.exe","01-06-2026 10:48:49","3.97","2.43","2101366.66","2.43","0.44","True"
"1668","svchost",,,"3.88","3.33","2101343.98","3.33",,"True"
"5336","svchost",,,"3.86","2.38","2101347.65","2.38",,"True"
"5684","spoolsv",,,"3.72","6.6","2101373.62","6.6",,"True"
"2476","svchost",,,"3.69","4.59","2101351.73","4.59",,"True"
"6244","SecurityHealthService",,,"3.64","7.74","2101419.14","7.74",,"True"
"9668","HPEnhancedLighting.Bg","C:\Program Files\WindowsApps\AD2F1837.HPEnhance_1.4.4.0_x64__v10z8vjag6ke6\Win32\HPEnhancedLighting.Bg.exe","01-06-2026 10:51:13","3.61","27.96","4783.32","27.96","0.59","True"
"14784","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","3.55","10.09","2249311.46","10.09","1.03","True"
"2040","svchost",,,"3.43","2.7","2101351.69","2.7",,"True"
"13108","WidgetService","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.18.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe","01-06-2026 10:49:04","3.39","5.23","2101413.15","5.23","1.64","True"
"14008","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:49:09","3.36","3.17","2101391.84","3.17","2.02","True"
"4704","svchost",,,"3.32","2.42","2101344.48","2.42",,"True"
"25144","svchost",,,"3.31","8.6","2101397.3","8.6",,"True"
"3016","svchost",,,"3.11","1.62","2101328.44","1.62",,"True"
"12864","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:49:03","3.05","3.72","2101401.73","3.72","0.66","True"
"3924","AppHelperCap",,,"3.04","7.41","2101378.05","7.41",,"True"
"5304","svchost",,,"3.04","1.88","2101331.69","1.88",,"True"
"4","System",,,"2.95","0.06","10.43","0.06",,"True"
"656","svchost",,,"2.88","3.96","2101362.18","3.96",,"True"
"4560","WUDFHost",,,"2.85","9.62","2101375.12","9.62",,"True"
"3224","svchost",,,"2.8","3.46","2101347.03","3.46",,"True"
"2172","svchost",,,"2.79","2.24","2101343.19","2.24",,"True"
"1732","mcafee-security-ft","C:\Program Files\WindowsApps\5A894077.McAfeeSecurity_2.1.68.0_x64__wafk5atnkzcwy\Win32\mcafee-security-ft.exe","01-06-2026 10:50:43","2.79","3.05","4257.97","3.05","0.42","True"
"5852","svchost",,,"2.78","2.12","2101342.7","2.12",,"True"
"1136","csrss",,,"2.74","4.38","2101419.26","4.38",,"True"
"3940","svchost",,,"2.72","2.44","2101346.96","2.44",,"True"
"2720","svchost",,,"2.67","2.53","2101341.79","2.53",,"True"
"11928","RtkAudUService64",,,"2.64","4.46","4227.43","4.46",,"True"
"38436","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 12:31:39","2.61","3.68","2101401.07","3.68","0.7","True"
"16920","unsecapp","C:\WINDOWS\system32\wbem\unsecapp.exe","01-06-2026 10:49:44","2.6","1.84","2101337.88","1.84","0.77","True"
"6204","svchost",,,"2.55","2.12","2101339.55","2.12",,"True"
"3708","DiagsCap",,,"2.55","26.6","2101395.03","26.6",,"True"
"9356","fshoster64","C:\Program Files (x86)\Safe Online\x64\fshoster64.exe","01-06-2026 10:48:51","2.55","4.79","2101431.44","4.79","11.64","True"
"1972","svchost",,,"2.55","2.77","2101337.55","2.77",,"True"
"9724","vmcompute",,,"2.54","2.7","2101319.33","2.7",,"True"
"5484","unsecapp",,,"2.53","2.1","2101317.82","2.1",,"True"
"1044","csrss",,,"2.5","2.39","2101361.15","2.39",,"True"
"9052","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","2.32","2.26","2101352.18","2.26","1.39","True"
"16520","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:50:42","2.29","2.92","2101388.34","2.92","0.56","True"
"2772","svchost",,,"2.27","2.22","2101340.49","2.22",,"True"
"17828","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:50:51","2.27","2.96","2101367.41","2.96","0.34","True"
"1156","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:50:06","2.26","3.12","2101387.05","3.12","3.08","True"
"15652","wslrelay","C:\Program Files\WSL\wslrelay.exe","01-06-2026 11:01:46","2.26","2.21","2101374.89","2.21","243.91","True"
"1956","svchost",,,"2.2","2.51","2101336.82","2.51",,"True"
"4100","svchost",,,"2.18","2.19","2101388.53","2.19",,"True"
"9256","svchost",,,"2.18","2.52","2101352.82","2.52",,"True"
"13620","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:49:05","2.15","2.37","2101360.88","2.37","0.44","True"
"1888","svchost",,,"2.15","2.55","2101346.84","2.55",,"True"
"17004","svchost",,,"2.14","6.68","2101615.94","6.68",,"True"
"3784","svchost",,,"2.11","2.18","2101345.46","2.18",,"True"
"6344","LMS",,,"2.09","2.91","78.72","2.91",,"True"
"10204","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","2.09","14.74","2249557.48","14.74","6.73","True"
"3716","svchost",,,"2.08","2.1","2101338.82","2.1",,"True"
"5364","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","2.08","2.41","2101371.86","2.41","0","True"
"10088","wsl","C:\Program Files\WSL\wsl.exe","01-06-2026 11:01:43","2.06","2.43","2101375.74","2.43","21.09","True"
"4916","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:01:44","2.05","2.53","2101337.68","2.53","0.06","True"
"2216","svchost",,,"2.01","1.95","2101336.44","1.95",,"True"
"4056","igfxCUIServiceN",,,"2","2.74","2101345.23","2.74",,"True"
"15408","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:01:46","2","2.8","2101414.16","2.8","0","True"
"17740","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","1.98","2.15","2101365.86","2.15","0.06","True"
"10552","wsl","C:\Program Files\WSL\wsl.exe","01-06-2026 11:01:43","1.97","2.39","2101375.06","2.39","0.06","True"
"10372","svchost",,,"1.95","1.83","2101336.18","1.83",,"True"
"6456","svchost",,,"1.95","2.13","2101343.99","2.13",,"True"
"2356","svchost",,,"1.93","2.48","2101355.86","2.48",,"True"
"1248","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","1.92","2.15","2101365.81","2.15","0.05","True"
"14744","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","1.91","2.09","2101365.81","2.09","0.03","True"
"9068","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","1.91","2.04","2101369.32","2.04","0.44","True"
"13128","UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","01-06-2026 10:49:04","1.91","1.96","2101342.53","1.96","0.12","True"
