"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"2104","AppActions","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe","01-06-2026 10:58:52","53.16","17.38","2134111.09","17.38","0.38","True"
"18504","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 11:01:59","51.94","14.53","2134516.21","14.53","0.61","True"
"1032","OneApp.IGCC.WinService",,,"51.04","40.45","4767.33","40.45",,"True"
"10536","HPMediaNetwork","C:\Program Files\HP\HP Media Network\HPMediaNetwork.exe","01-06-2026 10:49:44","50.65","43.36","4792.24","43.36","0.25","True"
"10360","sihost","C:\WINDOWS\system32\sihost.exe","01-06-2026 10:48:56","49.34","7.96","2101474.05","7.96","4.64","True"
"15176","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","01-06-2026 10:49:08","47.94","10.03","2101464.14","10.03","1.34","True"
"184","Registry",,,"46.94","21.23","156.99","21.23",,"True"
"13828","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","01-06-2026 11:00:03","44.67","23.73","2101506.54","23.73","2.03","True"
"1436","svchost",,,"42.39","12.77","2101424.16","12.77",,"True"
"8004","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:49:11","40.67","14.74","2249542.54","14.74","0.7","True"
"17424","HPSystemEventUtilityHost","C:\Program Files\WindowsApps\AD2F1837.HPSystemEventUtility_3.2.24.0_x64__v10z8vjag6ke6\SystemEventUtility\HPSystemEventUtilityHost.exe","01-06-2026 11:00:47","40.24","34.01","4807.89","34.01","0.14","True"
"9208","svchost","C:\WINDOWS\system32\svchost.exe","01-06-2026 10:48:51","39.75","7.98","2101447.64","7.98","2.81","True"
"6384","IntelAudioService",,,"38.56","43.28","4780.55","43.28",,"True"
"9992","svchost",,,"35.79","5.84","2101396.77","5.84",,"True"
"5984","fshoster64",,,"34.96","12.64","2101452.97","12.64",,"True"
