"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"1464","fontdrvhost",,,"0.49","3.37","2101417.62","3.37",,"True"
"4916","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:01:44","0.45","2.53","2101337.68","2.53","0.12","True"
"186792","BridgeCommunication","C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_db0ee1e66e6d408e\x64\BridgeCommunication.exe","02-06-2026 10:12:39","0.38","5.09","2101403.61","5.09","0.58","True"
"15408","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 11:01:46","0.37","2.8","2101414.16","2.8","0","True"
"17336","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 12:42:27","0.34","1.52","2101333.05","1.52","0.08","True"
"6536","svchost",,,"0.34","1.36","2101327.75","1.36",,"True"
"11732","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","01-06-2026 11:00:02","0.34","7.32","2101436.88","7.32","0.42","True"
"1324","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.34","1.69","2101369","1.69","0.11","True"
"7836","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.33","1.69","2101369","1.69","0.14","True"
"5348","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.33","1.58","2101369","1.58","0.19","True"
"8028","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","0.32","1.58","2101369","1.58","0.17","True"
"17016","SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","01-06-2026 13:09:04","0.31","125.87","2105255.1","125.87","4.22","False"
"38644","ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","01-06-2026 12:31:38","0.31","73.13","2101803.55","73.13","2.94","True"
"10088","wsl","C:\Program Files\WSL\wsl.exe","01-06-2026 11:01:43","0.3","2.45","2101375.74","2.45","25.27","True"
"15572","Docker Desktop","C:\Program Files\Docker\Docker\Docker Desktop.exe","01-06-2026 11:01:42","0.28","45.68","5316.08","45.68","0.14","True"
"19824","OpenConsole","c:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\8761a5560c\resources\app\node_modules\node-pty\build\Release\conpty\OpenConsole.exe","01-06-2026 11:02:02","0.26","2.25","2101395.38","2.25","0.14","True"
"672","smss",,,"0.24","1.23","2101303.29","1.23",,"True"
"180492","node","C:\Program Files\nodejs\node.exe","02-06-2026 02:42:07","0.23","59.4","5310.2","59.4","0.28","True"
"13944","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","0.21","217.83","3694857.8","217.83","139.19","True"
"1252","AcrobatNotificationClient","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe","01-06-2026 10:50:35","0.21","43.61","334.1","43.61","0.52","True"
"6368","Video.UI","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.26041.10031.0_x64__8wekyb3d8bbwe\Video.UI.exe","01-06-2026 11:19:06","0.2","55.42","2101881.77","55.42","0.31","True"
"9936","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 10:48:53","0.19","1.24","2101341.39","1.24","0.06","True"
"11528","SentryEye",,,"0.18","69.62","2101426.08","69.62",,"True"
"1456","fontdrvhost",,,"0.14","1.88","2101321.39","1.88",,"True"
"14884","Code","C:\Users\Nrusingha\AppData\Local\Programs\Microsoft VS Code\Code.exe","01-06-2026 15:00:20","0.07","73.55","3538944.14","73.55","1.83","True"
"5896","armsvc",,,"0.07","1.76","69.66","1.76",,"True"
"17740","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","0.06","2.16","2101365.86","2.16","0.08","True"
"10552","wsl","C:\Program Files\WSL\wsl.exe","01-06-2026 11:01:43","0.06","2.39","2101375.06","2.39","0.08","True"
"116256","AppVShNotify","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe","01-06-2026 19:19:52","0.06","1.85","2101352.55","1.85","0.03","True"
"13128","UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","01-06-2026 10:49:04","0.06","1.96","2101342.53","1.96","0.14","True"
"1556","WUDFHost",,,"0.05","1.96","2101321.78","1.96",,"True"
"1248","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","0.05","2.15","2101365.81","2.15","0.06","True"
"14744","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","0.05","2.09","2101365.81","2.09","0.05","True"
"6328","mysqld",,,"0.05","32.7","4261.89","32.7",,"True"
"5364","wslhost","C:\Program Files\WSL\wslhost.exe","01-06-2026 11:01:46","0.04","2.4","2101371.86","2.4","0.06","True"
"6944","jhi_service",,,"0.04","1.39","2101326.01","1.39",,"True"
"9308","BraveCrashHandler64",,,"0.04","1.76","4187.72","1.76",,"True"
"1292","LsaIso",,,"0.04","1.48","4146.68","1.48",,"True"
"20012","cmd","C:\WINDOWS\system32\cmd.exe","02-06-2026 02:42:07","0.04","4.25","2101310.22","4.25","0.03","True"
"15668","cmd","C:\WINDOWS\system32\cmd.exe","02-06-2026 02:42:08","0.03","4.61","2101310.35","4.61","0.06","True"
"4680","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","0.03","1.11","2101313.79","1.11","0.06","True"
"12300","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:42","0.03","1.18","2101341.4","1.18","0.03","True"
"5052","ibtsiva",,,"0.03","1.29","2101311.55","1.29",,"True"
"9676","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","0.03","1.11","2101313.79","1.11","0.02","True"
"39988","dasHost",,,"0.02","1.18","2101304.66","1.18",,"True"
"2400","IntelCpHDCPSvc",,,"0.02","1.3","2101320.78","1.3",,"True"
"6608","RstMwService",,,"0.02","2.18","2101342.19","2.18",,"True"
"10408","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","0.01","11.82","2249311.48","11.82","2.61","True"
"0","Idle",,,"0.01","0.06","0.01","0.06",,"True"
