"Id","ProcessName","Path","StartTime","WorkingSetMB","PrivateMemoryMB","VirtualMemoryMB","PagedMemoryMB","CpuSeconds","Responding"
"8028","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.41","1.58","2101369","1.58","0.09","True"
"10372","svchost",,,"9.41","1.83","2101336.18","1.83",,"True"
"5484","unsecapp",,,"9.39","2.02","2101316.83","2.02",,"True"
"9120","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:42:15","9.38","1.8","2101369","1.8","0.11","True"
"5348","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.38","1.58","2101369","1.58","0.08","True"
"7836","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.37","1.69","2101369","1.69","0.09","True"
"1324","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:46","9.33","1.69","2101369","1.69","0.06","True"
"13456","chrome","C:\Program Files\Google\Chrome\Application\chrome.exe","01-06-2026 11:09:37","9.28","2.49","2199761.89","2.49","0.06","True"
"3000","svchost",,,"9.21","1.8","2101336.69","1.8",,"True"
"4100","svchost",,,"9.18","1.95","2101386.73","1.95",,"True"
"11736","svchost",,,"9.15","1.77","2101336.73","1.77",,"True"
"11516","svchost",,,"9.09","1.88","2101331.49","1.88",,"True"
"3016","svchost",,,"9.07","1.57","2101328.45","1.57",,"True"
"6608","RstMwService",,,"8.89","2.17","2101342.19","2.17",,"True"
"1928","svchost",,,"8.88","7.03","2101329.41","7.03",,"True"
"7344","conhost",,,"8.82","1.61","2101331.98","1.61",,"True"
"17336","dllhost","C:\WINDOWS\system32\DllHost.exe","01-06-2026 12:42:27","8.7","1.52","2101333.06","1.52","0.05","True"
"3968","svchost",,,"8.68","1.59","2101329.45","1.59",,"True"
"1128","wininit",,,"8.61","1.63","2101333.94","1.63",,"True"
"10784","wlanext",,,"8.49","1.65","2101317.56","1.65",,"True"
"5304","svchost",,,"8.43","1.86","2101331.7","1.86",,"True"
"17248","RtkAudUService64","C:\WINDOWS\System32\DriverStore\FileRepository\realtekservice.inf_amd64_5b7acb8ae279027d\RtkAudUService64.exe","01-06-2026 10:49:21","8.4","8.3","4257.28","8.3","1.89","True"
"6944","jhi_service",,,"8.19","1.39","2101326.02","1.39",,"True"
"10284","svchost",,,"7.93","1.46","2101326.98","1.46",,"True"
"5952","ETDService",,,"7.83","1.55","4172.06","1.55",,"True"
"5976","esif_uf",,,"7.83","1.79","2101318.12","1.79",,"True"
"2216","svchost",,,"7.79","1.84","2101336.45","1.84",,"True"
"1556","WUDFHost",,,"7.66","1.84","2101321.78","1.84",,"True"
"7796","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 14:08:39","7.53","1.23","2101342.4","1.23","0.03","True"
"5896","armsvc",,,"7.51","1.76","69.67","1.76",,"True"
"3752","svchost",,,"7.46","1.48","2101332.45","1.48",,"True"
"1136","csrss",,,"7.45","4.42","2101421.71","4.42",,"True"
"35664","bash","C:\Program Files\Git\bin\bash.exe","01-06-2026 12:20:12","7.43","1.64","4197.62","1.64","0.02","True"
"5052","ibtsiva",,,"7.3","1.33","2101311.55","1.33",,"True"
"2564","svchost",,,"7.25","2.26","2101340.54","2.26",,"True"
"5936","ELAN_MOC_Service",,,"7.22","1.36","4164.88","1.36",,"True"
"2400","IntelCpHDCPSvc",,,"7.21","1.3","2101320.79","1.3",,"True"
"20412","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:02:04","7.18","1.31","2101341.39","1.31","3.06","True"
"35824","bash","C:\Program Files\Git\bin\bash.exe","01-06-2026 12:20:15","7.15","1.64","4197.62","1.64","0.02","True"
"6536","svchost",,,"7.02","1.35","2101327.76","1.35",,"True"
"9676","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","7.01","1.11","2101313.79","1.11","0.02","True"
"4680","wsl","C:\WINDOWS\System32\wsl.exe","01-06-2026 11:01:43","6.99","1.11","2101313.79","1.11","0.05","True"
"12300","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 11:01:42","6.95","1.18","2101341.4","1.18","0.03","True"
"1900","svchost",,,"6.68","1.25","2101326.46","1.25",,"True"
"49096","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.68","2.73","4192.89","2.73","0","True"
"3572","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.68","2.73","4192.89","2.73","0.02","True"
"4288","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.67","2.73","4192.89","2.73","0","True"
"60728","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.67","2.73","4192.89","2.73","0.02","True"
"61344","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:10","6.66","2.71","4192.89","2.71","0.02","True"
"60636","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.66","2.71","4192.89","2.71","0","True"
"61136","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.66","2.72","4192.89","2.72","0","True"
"62352","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.66","2.71","4192.89","2.71","0.02","True"
"61196","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.66","2.72","4192.89","2.72","0.02","True"
"15548","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.66","2.72","4192.89","2.72","0.02","True"
"17256","git","C:\Program Files\Git\mingw64\bin\git.exe","01-06-2026 14:08:15","6.66","2.72","4192.89","2.72","0","True"
"1936","svchost",,,"6.62","1.32","2101327.86","1.32",,"True"
"8548","OmenInstallMonitor",,"01-06-2026 10:48:51","6.58","33.61","4756.79","33.61","1.34","True"
"1044","csrss",,,"6.57","2.36","2101361.03","2.36",,"True"
"9936","conhost","C:\WINDOWS\system32\conhost.exe","01-06-2026 10:48:53","6.27","1.24","2101341.39","1.24","0.03","True"
"41520","cmd","C:\WINDOWS\system32\cmd.exe","01-06-2026 12:32:17","6.07","4.3","2101309.07","4.3","0.03","True"
"9608","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","6.04","173.5","2250100.54","173.5","6.59","True"
"39988","dasHost",,,"5.99","1.18","2101304.66","1.18",,"True"
"26040","cmd","C:\WINDOWS\system32\cmd.exe","01-06-2026 11:42:15","5.93","4.26","2101310.22","4.26","0.02","True"
"4664","cmd","C:\WINDOWS\system32\cmd.exe","01-06-2026 11:42:15","5.91","4.64","2101310.35","4.64","0.02","True"
"17552","cmd","C:\WINDOWS\system32\cmd.exe","01-06-2026 11:36:44","5.89","4.27","2101310.22","4.27","0","True"
"332","cmd","C:\WINDOWS\system32\cmd.exe","01-06-2026 11:36:44","5.89","4.39","2101310.35","4.39","0.02","True"
"1464","fontdrvhost",,,"5.06","3.36","2101417.56","3.36",,"True"
"4","System",,,"4.52","0.06","9.12","0.06",,"True"
"8436","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","4.43","52.7","2299365.2","52.7","8.23","True"
"1252","AcrobatNotificationClient","C:\Program Files\WindowsApps\ReaderNotificationClient_1.0.4.0_x86__e1rzdqpraam7r\AcrobatNotificationClient.exe","01-06-2026 10:50:35","4.16","43.64","335.35","43.64","0.38","True"
"1292","LsaIso",,,"3.54","1.26","4146.5","1.26",,"True"
"1456","fontdrvhost",,,"3.45","1.66","2101318.38","1.66",,"True"
"6368","Video.UI","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.26041.10031.0_x64__8wekyb3d8bbwe\Video.UI.exe","01-06-2026 11:19:06","2.38","55.43","2101879.78","55.43","0.31","True"
"13944","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","2.27","154.61","3694848.64","154.61","21.16","True"
"17016","SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","01-06-2026 13:09:04","1.88","125.87","2105255.1","125.87","4.22","False"
"672","smss",,,"1.44","1.23","2101303.29","1.23",,"True"
"5360","BraveCrashHandler",,,"1.1","1.73","52.77","1.73",,"True"
"9308","BraveCrashHandler64",,,"1.05","1.76","4187.73","1.76",,"True"
"11732","AdobeCollabSync","C:\Program Files\Adobe\Acrobat DC\Acrobat\AdobeCollabSync.exe","01-06-2026 11:00:02","0.76","7.18","2101436.88","7.18","0.22","True"
"10204","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","0.51","14.64","2249573.49","14.64","2.22","True"
"0","Idle",,,"0.01","0.06","0.01","0.06",,"True"
"10408","msedgewebview2","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\148.0.3967.96\msedgewebview2.exe","01-06-2026 10:50:08","0.01","11.49","2249311.48","11.49","0.5","True"
